date,usd
1380/01/23,1755
1380/01/25,1755
1380/01/26,1755
1380/01/29,1755
1380/02/01,1755
1380/02/02,1755
1380/02/03,1755
1380/02/04,1755
1380/02/05,1755
1380/02/06,1755
1380/02/08,1755
1380/02/09,1755
1380/02/10,1755
1380/02/11,1755
1380/02/12,1755
1380/02/13,1755
1380/02/15,1755
1380/02/16,1755
1380/02/17,1755
1380/02/18,1755
1380/02/19,1755
1380/02/20,1755
1380/02/22,1755
1380/02/23,1755
1380/02/25,1755
1380/02/26,1755
1380/02/27,1755
1380/02/29,1755
1380/02/30,1755
1380/02/31,1755
1380/03/02,1755
1380/03/05,1755
1380/03/06,1755
1380/03/07,1755
1380/03/08,1755
1380/03/09,1755
1380/03/10,1755
1380/03/12,1755
1380/03/13,1755
1380/03/16,1755
1380/03/17,1755
1380/03/19,1755
1380/03/21,1755
1380/03/22,1755
1380/03/23,1755
1380/03/24,1755
1380/03/26,1755
1380/03/27,1755
1380/03/28,1755
1380/03/29,1755
1380/03/30,1755
1380/03/31,1755
1380/04/02,1755
1380/04/03,1755
1380/04/04,1755
1380/04/05,1755
1380/04/06,1755
1380/04/07,1755
1380/04/09,1755
1380/04/10,1755
1380/04/11,1755
1380/04/12,1755
1380/04/13,1755
1380/04/14,1755
1380/04/16,1755
1380/04/17,1755
1380/04/18,1755
1380/04/19,1755
1380/04/20,1755
1380/04/21,1755
1380/04/23,1755
1380/04/24,1755
1380/04/25,1755
1380/04/26,1755
1380/04/27,1755
1380/04/28,1755
1380/04/30,1755
1380/04/31,1755
1380/05/01,1755
1380/05/02,1755
1380/05/03,1755
1380/05/04,1755
1380/05/06,1755
1380/05/07,1755
1380/05/08,1755
1380/05/09,1755
1380/05/10,1755
1380/05/11,1755
1380/05/13,1755
1380/05/14,1755
1380/05/15,1755
1380/05/16,1755
1380/05/17,1755
1380/05/18,1755
1380/05/20,1755
1380/05/21,1755
1380/05/22,1755
1380/05/23,1755
1380/05/24,1755
1380/05/25,1755
1380/05/27,1755
1380/05/28,1755
1380/05/29,1755
1380/05/30,1755
1380/05/31,1755
1380/06/03,1755
1380/06/04,1755
1380/06/05,1755
1380/06/06,1755
1380/06/07,1755
1380/06/08,1755
1380/06/10,1755
1380/06/11,1755
1380/06/12,1755
1380/06/13,1755
1380/06/14,1755
1380/06/15,1755
1380/06/17,1755
1380/06/18,1755
1380/06/19,1755
1380/06/20,1755
1380/06/21,1755
1380/06/22,1755
1380/06/24,1755
1380/06/25,1755
1380/06/26,1755
1380/06/27,1755
1380/06/28,1755
1380/06/29,1755
1380/07/01,1755
1380/07/02,1755
1380/07/03,1755
1380/07/04,1755
1380/07/05,1755
1380/07/07,1755
1380/07/08,1755
1380/07/10,1755
1380/07/11,1755
1380/07/12,1755
1380/07/14,1755
1380/07/15,1755
1380/07/16,1755
1380/07/17,1755
1380/07/18,1755
1380/07/19,1755
1380/07/21,1755
1380/07/22,1755
1380/07/24,1755
1380/07/25,1755
1380/07/26,1755
1380/07/28,1755
1380/07/29,1755
1380/07/30,1755
1380/08/01,1755
1380/08/02,1755
1380/08/03,1755
1380/08/05,1755
1380/08/06,1755
1380/08/07,1755
1380/08/08,1755
1380/08/09,1755
1380/08/12,1755
1380/08/13,1755
1380/08/14,1755
1380/08/15,1755
1380/08/16,1755
1380/08/17,1755
1380/08/19,1755
1380/08/20,1755
1380/08/21,1755
1380/08/22,1755
1380/08/23,1755
1380/08/24,1755
1380/08/26,1755
1380/08/27,1755
1380/08/28,1755
1380/08/29,1755
1380/08/30,1755
1380/09/01,1755
1380/09/03,1755
1380/09/04,1755
1380/09/05,1755
1380/09/06,1755
1380/09/07,1755
1380/09/08,1755
1380/09/10,1755
1380/09/11,1755
1380/09/12,1755
1380/09/13,1755
1380/09/14,1755
1380/09/15,1755
1380/09/17,1755
1380/09/18,1755
1380/09/19,1755
1380/09/20,1755
1380/09/21,1755
1380/09/22,1755
1380/09/24,1755
1380/09/25,1755
1380/09/26,1755
1380/09/27,1755
1380/09/28,1755
1380/09/29,1755
1380/10/01,1755
1380/10/02,1755
1380/10/03,1755
1380/10/04,1755
1380/10/05,1755
